step,time_s,theta_raw,omega_raw,theta_corrected,omega_corrected,top_error,u_policy_raw,u_signed,u_clipped,u_safe,u_commanded,raw_reward
0.0,0.0,0.0,0.6330100297927856,0.0,0.6330100297927856,-3.141592653589793,3.0,3.0,3.0,0.02,0.02,-1.0000401590586707
1.0,0.025,0.0,0.412992000579834,0.0,0.412992000579834,-3.141592653589793,3.0,3.0,3.0,0.04,0.04,-1.00001741179481
2.0,0.05,0.0,1.073046088218689,0.0,1.073046088218689,-3.141592653589793,3.0,3.0,3.0,0.06,0.06,-1.0001159427907442
3.0,0.07500000000000001,0.0,0.412992000579834,0.0,0.412992000579834,-3.141592653589793,3.0,3.0,3.0,0.08,0.08,-1.0000184784614765
4.0,0.1,0.0,1.953118085861206,0.0,1.953118085861206,-3.141592653589793,3.0,3.0,3.0,0.1,0.1,-1.000383689247954
5.0,0.125,0.0,2.0251383781433105,0.0,2.0251383781433105,-3.141592653589793,3.0,3.0,3.0,0.12000000000000001,0.12000000000000001,-1.000413318545063
6.0,0.15000000000000002,0.0,1.8051203489303589,0.0,1.8051203489303589,-3.141592653589793,3.0,3.0,3.0,0.14,0.14,-1.0003302015029678
7.0,0.17500000000000002,0.0,2.465174436569214,0.0,2.465174436569214,-3.141592653589793,3.0,3.0,3.0,0.16,0.16,-1.0006133973891602
8.0,0.2,0.0,2.0251383781433105,0.0,2.0251383781433105,-3.141592653589793,3.0,3.0,3.0,0.18,0.18,-1.0004173185450629
9.0,0.225,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,3.0,0.19999999999999998,0.19999999999999998,-1.0000159110801272
10.0,0.25,0.0,0.7050302028656006,0.0,0.7050302028656006,-3.141592653589793,3.0,3.0,3.0,0.21999999999999997,0.21999999999999997,-1.0000604623142508
11.0,0.275,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,3.0,0.23999999999999996,0.23999999999999996,-1.0000198221912382
12.0,0.30000000000000004,0.0,0.26499417424201965,0.0,0.26499417424201965,-3.141592653589793,3.0,3.0,3.0,0.25999999999999995,0.25999999999999995,-1.0000220444134604
13.0,0.325,0.0,1.8771405220031738,0.0,1.8771405220031738,-3.141592653589793,3.0,3.0,3.0,0.27999999999999997,0.27999999999999997,-1.0003697878761568
14.0,0.35000000000000003,0.0,2.097158432006836,0.0,2.097158432006836,-3.141592653589793,3.0,3.0,3.0,0.3,0.3,-1.0004598073488937
15.0,0.375,0.0,0.6532111763954163,0.0,0.6532111763954163,-3.141592653589793,3.0,3.0,3.0,0.32,0.32,-1.0000654240396525
16.0,0.4,0.0,0.21317513287067413,0.0,0.21317513287067413,-3.141592653589793,3.0,3.0,3.0,0.34,0.34,-1.0000302332526165
17.0,0.42500000000000004,0.0,0.06517729163169861,0.0,0.06517729163169861,-3.141592653589793,3.0,3.0,3.0,0.36000000000000004,0.36000000000000004,-1.0000292248079343
18.0,0.45,0.0,0.06517729163169861,0.0,0.06517729163169861,-3.141592653589793,3.0,3.0,3.0,0.38000000000000006,0.38000000000000006,-1.0000325136968233
19.0,0.47500000000000003,0.0,0.7252313494682312,0.0,0.7252313494682312,-3.141592653589793,3.0,3.0,3.0,0.4000000000000001,0.4000000000000001,-1.0000881516065807
20.0,0.5,0.0,0.06517729163169861,0.0,0.06517729163169861,-3.141592653589793,3.0,3.0,3.0,0.4200000000000001,0.4200000000000001,-1.0000396248079344
21.0,0.525,0.0031415927223861217,1.4573055505752563,0.0031415927223861217,1.4573055505752563,-3.138451060867407,3.0,3.0,3.0,0.4400000000000001,0.4400000000000001,-1.000250461370638
22.0,0.55,0.0031415927223861217,1.8973416090011597,0.0031415927223861217,1.8973416090011597,-3.138451060867407,3.0,3.0,3.0,0.46000000000000013,0.46000000000000013,-1.0004020779419889
23.0,0.5750000000000001,0.0031415927223861217,1.4573055505752563,0.0031415927223861217,1.4573055505752563,-3.138451060867407,3.0,3.0,3.0,0.48000000000000015,0.48000000000000015,-1.0002586391484156
24.0,0.6000000000000001,0.0031415927223861217,0.4533942639827728,0.0031415927223861217,0.4533942639827728,-3.138451060867407,3.0,3.0,3.0,0.5000000000000001,0.5000000000000001,-1.0000711773930588
25.0,0.625,0.0031415927223861217,3.94952392578125,0.0031415927223861217,3.94952392578125,-3.138451060867407,3.0,3.0,3.0,0.5200000000000001,0.5200000000000001,-1.0016150280145628
26.0,0.65,0.0031415927223861217,2.7255945205688477,0.0031415927223861217,2.7255945205688477,-3.138451060867407,3.0,3.0,3.0,0.5400000000000001,0.5400000000000001,-1.0008027517506977
27.0,0.675,0.0031415927223861217,0.08537842333316803,0.0031415927223861217,0.08537842333316803,-3.138451060867407,3.0,3.0,3.0,0.5600000000000002,0.5600000000000002,-1.000065483038048
28.0,0.7000000000000001,0.0031415927223861217,0.3053964376449585,0.0031415927223861217,0.3053964376449585,-3.138451060867407,3.0,3.0,3.0,0.5800000000000002,0.5800000000000002,-1.0000791474556103
29.0,0.7250000000000001,0.0031415927223861217,0.7454324960708618,0.0031415927223861217,0.7454324960708618,-3.138451060867407,3.0,3.0,3.0,0.6000000000000002,0.6000000000000002,-1.000130632162262
30.0,0.75,0.0031415927223861217,3.2376508712768555,0.0031415927223861217,3.2376508712768555,-3.138451060867407,3.0,3.0,3.0,0.6200000000000002,0.6200000000000002,-1.0011287257402923
31.0,0.775,0.0031415927223861217,-0.5746756196022034,0.0031415927223861217,-0.5746756196022034,-3.138451060867407,3.0,3.0,3.0,0.6400000000000002,0.6400000000000002,-1.0001191126306408
32.0,0.8,0.0031415927223861217,3.0176327228546143,0.0031415927223861217,3.0176327228546143,-3.138451060867407,3.0,3.0,3.0,0.6600000000000003,0.6600000000000003,-1.0010024759266463
33.0,0.8250000000000001,0.0031415927223861217,0.6936134099960327,0.0031415927223861217,0.6936134099960327,-3.138451060867407,3.0,3.0,3.0,0.6800000000000003,0.6800000000000003,-1.0001459307134501
34.0,0.8500000000000001,0.0062831854447722435,0.2535773813724518,0.0062831854447722435,0.2535773813724518,-3.135309468145021,3.0,3.0,3.0,0.7000000000000003,0.7000000000000003,-1.0000955798929958
35.0,0.875,0.0062831854447722435,0.2535773813724518,0.0062831854447722435,0.2535773813724518,-3.135309468145021,3.0,3.0,3.0,0.7200000000000003,0.7200000000000003,-1.000101891004107
36.0,0.9,0.012566370889544487,1.25748872756958,0.012566370889544487,1.25748872756958,-3.1290262827002486,3.0,3.0,3.0,0.7400000000000003,0.7400000000000003,-1.0002008608792434
37.0,0.925,0.018849555402994156,0.7656335830688477,0.018849555402994156,0.7656335830688477,-3.122743098186799,3.0,3.0,3.0,0.7600000000000003,0.7600000000000003,-1.0000093274244906
38.0,0.9500000000000001,0.028274333104491234,1.205669641494751,0.028274333104491234,1.205669641494751,-3.113318320485302,3.0,3.0,3.0,0.7800000000000004,0.7800000000000004,-0.9998808716006881
39.0,0.9750000000000001,0.03769911080598831,1.6457056999206543,0.03769911080598831,1.6457056999206543,-3.103893542783805,3.0,3.0,3.0,0.8000000000000004,0.8000000000000004,-0.9997025296269747
40.0,1.0,0.05026548355817795,-0.5544744729995728,0.05026548355817795,-0.5544744729995728,-3.091327170031615,3.0,3.0,3.0,0.8200000000000004,0.8200000000000004,-0.9989171229670546
41.0,1.0250000000000001,0.06283185631036758,0.8376537561416626,0.06283185631036758,0.8376537561416626,-3.0787607972794255,3.0,3.0,3.0,0.8400000000000004,0.8400000000000004,-0.9982536946064378
